Name,Team,Position,Start-IP,Relief-IP,WAR,IP,ERA,FIP,xFIP,SIERA,K%,BB%,SwStr%,CSW%,Hard%
Sandy Alcantara,MIA,SP,228.2,0,5.7,228.2,2.28,2.99,3.29,3.42,23.4,5.6,12.2,27.5,26.5
Max Scherzer,NYM,SP,145.1,0,4.4,145.1,2.29,2.62,3.23,2.88,30.6,4.2,14.8,30.8,26.9
Michael King,NYY,RP,0,51,1.7,51,2.29,2.23,2.42,2.44,33.2,8,14.4,34.7,24.8
Ronny Henriquez,MIN,RP,0,11.2,0,11.2,2.31,3.97,4.63,3.83,18,6,9.9,23.2,27.8
Sam Hentges,CLE,RP,0,62,1.1,62,2.32,2.48,2.67,2.51,29.4,7.8,13.6,30.2,29.8
Gabe Speier,KCR,RP,2,17.1,0.1,19.1,2.33,3.78,4.2,4.01,18.2,6.5,7.4,22.5,17.2
Shohei Ohtani,LAA,SP,166,0,5.6,166,2.33,2.4,2.65,2.73,33.2,6.7,14.9,31.6,24.6
Denyi Reyes,BAL,RP,3.2,4,0.2,7.2,2.35,2.72,4.65,4.82,9.7,3.2,11.1,22.2,22.2
Aaron Bummer,CHW,RP,0,26.2,0.3,26.2,2.36,3.19,2.82,2.73,25.6,8.5,10.1,31.3,32
Alex Young,- - -,RP,0.2,25.3,0.4,26.2,2.36,2.89,4.05,3.98,18.1,9.5,15.5,29.2,28.9
Rafael Montero,HOU,RP,0,68.1,1.5,68.1,2.37,2.64,3.22,3.05,27,8.5,11.4,29,22.1
David Robertson,- - -,RP,0,63.2,0.7,63.2,2.4,3.58,3.71,3.43,30.7,13.3,14,33,26.2
Junior Fernandez,- - -,RP,0,18.2,-0.3,18.2,2.41,5.79,4.89,4.84,16.7,14.3,10.5,25.8,30.4
Tommy Hunter,NYM,RP,0,22.1,0,22.1,2.42,4.28,3.94,3.42,23.4,6.4,11.2,24.9,30.3
JT Chargois,TBR,RP,4,18.1,-0.1,22.1,2.42,4.28,3.86,3.42,19.8,5.8,10.5,29.6,32.3
Nestor Cortes,NYY,SP,158.1,0,3.6,158.1,2.44,3.13,3.63,3.48,26.5,6.2,11.1,28.3,27.7
David Price,LAD,RP,0,40.1,0.1,40.1,2.45,3.88,3.23,3.06,22.2,5.4,8.1,27,30.6
Miguel Diaz,DET,RP,0,3.2,0,3.2,2.45,3.11,4.73,4.58,21.4,14.3,17.9,28.6,11.1
Stephen Nogosek,NYM,RP,0,22,-0.1,22,2.45,4.66,4.51,3.8,22.1,7.4,9.3,23.3,22.7
Justin Wilson,CIN,RP,0,3.2,0.2,3.2,2.45,-0.71,0.1,0.22,53.8,0,18.5,40.7,33.3
Jeffrey Springs,TBR,SP,125,10.1,3,135.1,2.46,3.04,3.29,3.32,26.2,5.6,13.5,29.8,30.2
Raisel Iglesias,- - -,RP,0,61.3,1.6,62,2.47,2.47,2.99,2.46,31.7,5.7,16.5,32.6,29.8
Max Fried,ATL,SP,185.1,0,5,185.1,2.48,2.7,3.09,3.31,23.2,4.4,12,27.5,24.5
Jimmy Herget,LAA,RP,3,66,1.6,69,2.48,2.82,3.48,3.26,23.7,5.6,11.1,30.6,27.6
Andres Munoz,SEA,RP,0,65,1.9,65,2.49,2.04,2.04,1.74,38.7,6,21.6,35.6,25.6
Hunter Harvey,WSN,RP,0,39.1,1,39.1,2.52,2.07,3.4,2.96,28.7,7.6,12,28.4,27
Camilo Doval,SFG,RP,0,67.2,1.2,67.2,2.53,2.98,3.04,3.07,28,10.5,13.7,29.6,25.4
Jorge Lopez,- - -,RP,0,70.3,0.8,71,2.54,3.42,3.69,3.46,24.2,10.4,10.9,29.7,21.3
Scott Effross,- - -,RP,1.1,54.4,1.3,56.2,2.54,2.46,3.18,2.95,27.1,6.6,10.4,31.2,19.5
Cristian Javier,HOU,SP,134.1,14.1,3.4,148.2,2.54,3.16,3.53,3.14,33.2,8.9,13.8,28.3,29.7
Shane McClanahan,TBR,SP,166.1,0,3.5,166.1,2.54,3,2.6,2.82,30.3,5.9,15.5,32.8,28.4
Zac Gallen,ARI,SP,184,0,4.3,184,2.54,3.05,3.31,3.32,26.9,6.6,10.1,27.8,29.2
Clay Holmes,NYY,RP,0,63.2,1.1,63.2,2.54,2.85,2.9,2.28,25,7.7,12.6,30.4,26.1
Tyler Anderson,LAD,SP,170.2,8,4,178.2,2.57,3.31,4.1,4.04,19.5,4.8,11.8,28.1,26.8
Wily Peralta,DET,RP,2,36.1,0,38.1,2.58,4.08,4.79,4.85,19,14.3,8.4,25.4,32.4
Collin McHugh,ATL,RP,0,69.1,1.4,69.1,2.6,2.71,3.24,2.78,27.6,5.1,12.6,28.7,28.1
Jaime Barria,LAA,RP,4.2,74.2,0.1,79.1,2.61,4.39,4.39,4.13,17.1,6,10.8,26.4,30.4
David Bednar,PIT,RP,0,51.2,1.5,51.2,2.61,2.44,2.83,2.53,32.9,7.6,15.3,31.5,28.2
Chase De Jong,PIT,RP,0,71.2,-0.2,71.2,2.64,4.74,4.96,4.38,20.1,10.2,10.6,26.9,26.8
Spencer Strider,ATL,SP,107.1,24.1,4.9,131.2,2.67,1.83,2.3,2.41,38.3,8.5,15.5,31.1,30.2
Lucas Luetge,NYY,RP,0,57.1,0.9,57.1,2.67,3.03,3.95,3.41,23.9,6.8,12.2,28.5,27.6
Paul Sewald,SEA,RP,0,64,0.5,64,2.67,3.88,3.58,2.89,29.8,7,14.9,31.2,29.5
Brooks Raley,TBR,RP,0,53.2,0.9,53.2,2.68,2.74,3.28,2.92,27.9,6.8,11.7,30.1,24.8
Trevor Stephan,CLE,RP,0,63.2,1.7,63.2,2.69,2.19,2.81,2.55,30.7,6.7,16.2,31.5,25.2
Michael Feliz,BOS,RP,0,3.1,-0.1,3.1,2.7,6.41,2.96,3.28,30.8,15.4,11.5,31.1,42.9
Jake Cousins,MIL,RP,0,13.1,0.2,13.1,2.7,3.19,3.43,2.99,35.6,13.6,17.6,33.7,21.4
Cooper Criswell,TBR,SP,3.1,0,0.1,3.1,2.7,1.61,2.94,2.9,30.8,7.7,11.1,37.8,25
Tyler Cyr,- - -,RP,0,13.1,0,13.1,2.7,4.01,2.95,2.9,29.1,9.1,11.6,26.8,36.4
Wandy Peralta,NYY,RP,0,56.1,1,56.1,2.72,2.86,3.61,3.51,21.1,7.6,16.3,27.8,18.4
Connor Overton,CIN,SP,24.2,8.1,0.7,33,2.73,3.66,4.97,5.44,11.3,8.9,6,25.4,21.2
Eduard Bazardo,BOS,RP,0,16.1,-0.2,16.1,2.76,6.05,4.77,4.16,16.9,6.2,11.9,26.7,29.2
Reynaldo Lopez,CHW,RP,2,63.1,2,65.1,2.76,1.93,3.28,3.02,24.8,4.3,13.9,29.3,29.2
Carl Edwards Jr.,WSN,RP,0,62,0.1,62,2.76,4.24,4.09,3.88,21.9,9.8,10.7,27,28.2
Zach Pop,- - -,RP,0,39,0.5,39,2.77,2.96,3.43,3.21,15.9,2.5,8.2,25,27
Dylan Coleman,KCR,RP,0,68,0.4,68,2.78,3.88,4.38,4.04,24.6,12.8,13.1,28.5,24.6
Brad Hand,PHI,RP,0,45,0.3,45,2.8,3.93,4.9,4.51,19.2,11.6,7.3,28.8,25.2
Adam Cimber,TOR,RP,0,70.2,0.9,70.2,2.8,3.47,3.87,3.53,19.8,4.4,9,26.8,26.2
Jalen Beeks,TBR,RP,12.2,48.1,0.6,61,2.8,3.49,3.26,3.16,28,8.8,14,28.9,29.5
Liam Hendriks,CHW,RP,0,57.2,1.6,57.2,2.81,2.68,2.64,2.14,36.2,6.8,18.2,32.8,22.7
Framber Valdez,HOU,SP,201.1,0,4.4,201.1,2.82,3.06,2.99,3.14,23.5,8.1,11.3,28.8,30.1
Zack Wheeler,PHI,SP,153,0,4.1,153,2.82,2.89,3.06,3.19,26.9,5.6,11.4,27.7,27.3
Andrew Chafin,DET,RP,0,57.1,0.9,57.1,2.83,3.06,3.27,2.97,27.6,7.8,13.9,30,26.6
David Phelps,TOR,RP,1,62.2,0.7,63.2,2.83,3.16,4.26,4,23.5,11.4,6.9,26.9,25
Peter Strzelecki,MIL,RP,0,35,0.4,35,2.83,2.94,3.81,3.47,27,10.1,12.4,30.6,33.7
Jose Leclerc,TEX,RP,0,47.2,0.5,47.2,2.83,3.72,4.38,3.62,27.3,10.6,17.4,29.8,33.3
Drew Rasmussen,TBR,SP,146,0,2.9,146,2.84,3.26,3.56,3.74,21.4,5.3,12.1,25.9,30.5
Tommy Kahnle,LAD,RP,0,12.2,0,12.2,2.84,4.38,3.14,2.31,30.4,6.5,17.2,29.9,19.2
Joe Mantiply,ARI,RP,0,60,1.2,60,2.85,2.83,2.52,2.4,25.1,2.5,14.2,32.6,24.3
Shane Bieber,CLE,SP,200,0,4.9,200,2.88,2.87,2.98,3.21,25,4.6,13.8,31.4,33.5
Carlos Rodon,SFG,SP,178,0,6.2,178,2.88,2.25,2.91,2.83,33.4,7.3,14.1,30.6,29.3
Martin Perez,TEX,SP,196.1,0,3.8,196.1,2.89,3.27,3.8,4.08,20.6,8.4,8.4,27.2,25.7
Logan Webb,SFG,SP,192.1,0,4.2,192.1,2.9,3.03,3.31,3.56,20.7,6.2,10.6,29.3,27.2
Patrick Sandoval,LAA,SP,148.2,0,3.8,148.2,2.91,3.09,3.67,3.94,23.7,9.4,13.3,29.2,26.4
Sam Moll,OAK,RP,0,43.1,0,43.1,2.91,4.22,4.05,3.8,24.6,11.8,9.8,29.2,25
Erasmo Ramirez,WSN,RP,6,80.1,0.4,86.1,2.92,4.05,3.94,3.72,17.6,4,10.3,26.1,30.5
Mason Thompson,WSN,RP,0,24.2,0.1,24.2,2.92,4.17,4.55,4.43,14.9,8.9,10.3,24.5,21.1
Jose Quintana,- - -,SP,165.2,0,4,165.2,2.93,2.99,3.72,4.02,20.2,6.9,10.6,25.3,28.9
Joe Musgrove,SDP,SP,181,0,3.5,181,2.93,3.59,3.47,3.45,24.9,5.7,11,30.8,26.9
Jhonathan Diaz,LAA,SP,11.1,4,0.1,15.1,2.93,4.48,4.99,5.45,16.7,15.2,8.5,22.9,37.8
Corbin Burnes,MIL,SP,202,0,4.6,202,2.94,3.14,2.85,2.91,30.5,6.4,15.1,32.1,31.6
Nabil Crismatt,SDP,RP,3,64.1,0.8,67.1,2.94,3.22,3.46,3.37,23.2,7.9,11.6,30,29.3
Brad Boxberger,MIL,RP,0,64,0.7,64,2.95,3.57,4.06,3.65,25.4,10.1,9.5,30.7,28.1
Triston McKenzie,CLE,SP,188.1,3,3.6,191.1,2.96,3.59,3.77,3.57,25.6,5.9,13,27.6,33.5
Jonathan Hernandez,TEX,RP,0,30.1,0,30.1,2.97,3.97,3.99,4.02,20.6,13,12.5,27.4,34.9
Ryan Pressly,HOU,RP,0,48.1,1.4,48.1,2.98,2.31,2.21,2.14,35.7,7.1,17.7,33.2,26.9
Steven Okert,MIA,RP,0,51.1,-0.1,51.1,2.98,4.36,4.14,3.5,28.5,11.8,13,30.6,25.6
Penn Murfee,SEA,RP,2,67.1,0.7,69.1,2.99,3.1,3.6,3.01,27.9,6.6,11.4,29.8,23.3
Luis Castillo,- - -,SP,150.1,0,3.7,150.1,2.99,3.07,3.23,3.35,27.2,7.3,12.6,28.4,31.5
Enoli Paredes,HOU,RP,0,3,0,3,3,4.78,5.77,6.59,14.3,21.4,8.8,24.6,0
Kyle Barraclough,LAA,RP,0,9,0.2,9,3,2.45,4.26,3.97,24.3,10.8,18.7,30.9,41.7
Chad Green,NYY,RP,0,15,0.3,15,3,2.85,4.15,3.6,25.8,8.1,14.5,26.6,20
Tyler Holton,ARI,RP,0,9,0,9,3,4.22,5.41,4.61,15.4,5.1,13.8,25.2,26.7
Seranthony Dominguez,PHI,RP,0,51,1,51,3,3.09,3.26,3.15,29.5,10.6,14.1,27.2,32.5
Zach Jackson,OAK,RP,0,48,0.9,48,3,2.78,4.14,3.71,33.2,16.3,13,29.5,26
Steven Brault,CHC,RP,0,9,0.1,9,3,3.33,5.31,4.56,20.5,12.8,10.2,25.5,28
Edward Cabrera,MIA,SP,71.2,0,0.3,71.2,3.01,4.59,4.12,4.05,25.8,11.3,13.3,30.6,27.6
Ross Stripling,TOR,SP,123.1,11,3.1,134.1,3.01,3.11,3.67,3.71,20.7,3.7,11,27.5,30
Dylan Floro,MIA,RP,0,53.2,0.7,53.2,3.02,3.13,3.6,3.51,21.8,6.8,9.3,28.2,26.8
