Name,Team,Position,Start-IP,Relief-IP,WAR,IP,ERA,FIP,xFIP,SIERA,K%,BB%,SwStr%,CSW%,Hard%
Tanner Rainey,WSN,RP,0,30,0.3,30,3.3,4.18,3.99,3.41,28.1,10.2,16.1,28.4,36.7
Andrew Bellatti,PHI,RP,1,53.1,1,54.1,3.31,2.87,3.37,2.88,33.9,10.9,16.2,30.4,27.8
Tyler Thornburg,- - -,RP,0,18.3,0,19,3.32,4.22,5.95,5.26,16.1,12.6,7.2,23.2,26.2
Jesus Luzardo,MIA,SP,100.1,0,2.2,100.1,3.32,3.12,3.11,3.28,30,8.8,13.8,31,32.9
Michael Wacha,BOS,SP,127.1,0,1.5,127.1,3.32,4.14,3.99,4.07,20.2,6,9.5,24.7,30.3
Domingo Acevedo,OAK,RP,0,67.2,0,67.2,3.33,4.01,3.88,3.56,21.8,6.4,15.8,27.9,26.1
Drew Smith,NYM,RP,0,46,-0.1,46,3.33,4.33,3.72,3.12,28.3,8,13.8,29,29.4
Andres Machado,WSN,RP,0,59.1,-0.1,59.1,3.34,4.51,4.55,4.42,17.6,10,10.9,26.1,33.7
Ralph Garza,TBR,RP,0,35,-0.3,35,3.34,5.17,5.29,5.34,11.1,10.5,8.4,25.9,30.5
Kevin Gausman,TOR,SP,174.2,0,5.7,174.2,3.35,2.38,2.75,2.94,28.3,3.9,15.5,29.8,30.3
Johnny Cueto,CHW,SP,153.1,5,2.4,158.1,3.35,3.79,4.38,4.49,15.7,5.1,7.7,23.3,30
Griffin Jax,MIN,RP,0,72.1,0.9,72.1,3.36,3.17,3.32,2.98,26.9,6.9,13.2,32,31.2
Merrill Kelly,ARI,SP,200.1,0,3.3,200.1,3.37,3.65,3.86,4.01,22,7.6,9.7,26.7,28.5
Blake Snell,SDP,SP,128,0,3.7,128,3.38,2.8,3.21,3.2,32,9.5,14.7,29,34.7
John Means,BAL,SP,8,0,0.3,8,3.38,2.11,3.78,3.99,20.6,5.9,11.1,22.2,24
Adbert Alzolay,CHC,RP,0,13.1,0.5,13.1,3.38,1.91,2.27,1.78,36.5,3.8,16.1,31.6,30
Kenley Jansen,ATL,RP,0,64,1.1,64,3.38,3.21,3.45,2.75,32.7,8.5,11.4,29.9,26.5
Eli Morgan,CLE,RP,3,63.2,0.6,66.2,3.38,3.58,3.54,2.92,28.1,5.1,11.8,27.9,30.8
Jeff Brigham,MIA,RP,0,24,0.2,24,3.38,3.65,3.88,3.54,27.7,9.9,11.9,29.6,30.2
Zack Weiss,LAA,RP,0,13.1,0,13.1,3.38,4.16,3.77,3.22,32.1,12.5,17.2,33,43.3
Kevin Ginkel,ARI,RP,0,29.1,0.5,29.1,3.38,2.74,3.61,3.44,24.2,8.9,11.7,31.3,26.8
Mychal Givens,- - -,RP,1,59.4,0.2,61.1,3.38,3.96,3.66,3.3,27.3,9.6,10.7,28.6,27.7
Jordan Holloway,MIA,RP,0,2.2,0,2.2,3.38,2.74,3.29,3.7,18.2,9.1,4.3,29.8,37.5
Cal Quantrill,CLE,SP,186.1,0,2.2,186.1,3.38,4.12,4.39,4.49,16.6,6.1,8.2,23.8,28.9
George Kirby,SEA,SP,130,0,3,130,3.39,2.99,3.33,3.32,24.5,4.1,9.7,25.9,31.4
Michael Fulmer,- - -,RP,0,63.2,0.7,63.2,3.39,3.57,4.45,4.01,22.1,10.1,12.1,27.5,27.5
Luis Garcia,SDP,RP,0,61,1.6,61,3.39,2.6,3.11,2.85,26.3,6.6,13.8,29.8,29.6
Dany Jimenez,OAK,RP,0,34.1,0.4,34.1,3.41,3.46,4.47,4.14,23.4,12.4,14.1,34.3,28
Alex Lange,DET,RP,0,63.1,0.7,63.1,3.41,3.25,3.23,3.09,30.3,11.4,19.1,34.4,28.1
Chris Bassitt,NYM,SP,181.2,0,2.7,181.2,3.42,3.66,3.72,3.75,22.4,6.6,10,29.2,25.2
Corey Knebel,PHI,RP,0,44.2,0,44.2,3.43,4.46,4.85,4.69,21.1,14.4,11.3,26.8,29.3
Matt Manning,DET,SP,63,0,1,63,3.43,3.78,4.37,4.45,18.3,7.2,9.4,24.7,32.3
Garrett Whitlock,BOS,RP,39,39.1,1.4,78.1,3.45,3.29,3.2,3.06,26.4,4.8,13.7,30.4,31.9
Ryan Pepiot,LAD,SP,31.1,5,-0.1,36.1,3.47,5.42,5.31,4.96,26.3,16.9,10.9,27.5,30.7
Matt Bush,- - -,RP,5.1,53.4,0.1,59.2,3.47,4.08,3.28,2.78,30.3,7.4,12.3,33.7,32.9
Drew Smyly,CHC,SP,106.1,0,1.3,106.1,3.47,4.23,4.18,4.06,20.4,5.8,12.4,27.5,32
Nick Martinez,SDP,RP,52.1,54,0.5,106.1,3.47,4.43,4.04,4.03,21.2,9.2,11.9,29.2,26.6
Carlos Estevez,COL,RP,0,57,0.4,57,3.47,4.08,4.27,3.88,23,9.8,9,21.3,33.1
Jordan Montgomery,- - -,SP,177.4,0,2.7,178.1,3.48,3.61,3.43,3.61,21.8,5,12.9,28.6,28
Bryan Baker,BAL,RP,3.2,66,1.4,69.2,3.49,2.74,3.56,3.35,26.1,8.9,10.6,28,29.6
Caleb Thielbar,MIN,RP,0,59.1,1.6,59.1,3.49,2.42,3.07,2.59,32.7,7.3,15,30.1,21.1
Taijuan Walker,NYM,SP,157.1,0,2.5,157.1,3.49,3.65,3.88,4.05,20.3,6.9,10,26.6,29.8
Joe Jimenez,DET,RP,0,56.2,1.4,56.2,3.49,2,2.7,2.3,33.3,5.6,14.5,30.5,25.5
Gerrit Cole,NYY,SP,200.2,0,3.3,200.2,3.5,3.47,2.77,2.77,32.4,6.3,14.3,31.9,31.5
Tyler Matzek,ATL,RP,0,43.2,-0.1,43.2,3.5,4.49,5.59,5.23,19.6,15.8,11.4,24.3,25.6
Marcus Stroman,CHC,SP,138.2,0,2,138.2,3.5,3.76,3.49,3.74,20.9,6.3,9.2,28,28.8
Kyle Finnegan,WSN,RP,0,66.2,0.6,66.2,3.51,3.76,3.22,3.16,26.1,8.2,12.6,28.7,33
Tarik Skubal,DET,SP,117.2,0,2.9,117.2,3.52,2.96,3.4,3.58,24.5,6.7,11.7,27.7,29.4
Roenis Elias,SEA,RP,0,7.2,0,7.2,3.52,4.42,4.65,4.25,18.2,9.1,8.8,23.7,33.3
Dereck Rodriguez,MIN,RP,0,7.2,-0.5,7.2,3.52,8.72,5.57,5.39,11.8,11.8,10.1,24.2,30.8
Bryan Garcia,DET,SP,20.1,0,-0.1,20.1,3.54,5.28,4.96,4.8,20.2,11.9,11,27.8,25.9
Michael Kopech,CHW,SP,119.1,0,1,119.1,3.54,4.5,4.83,4.73,21.3,11.5,9.9,27.2,28.9
Joe Ryan,MIN,SP,147,0,2.1,147,3.55,3.99,4.35,3.98,25,7.8,11.4,27.3,30.6
Richard Bleier,MIA,RP,1,49.2,0.5,50.2,3.55,3.27,3.76,3.74,14.4,4.5,9.2,25.1,27.9
Jharel Cotton,- - -,RP,0,43,-0.3,43,3.56,4.95,4.93,4.37,21.5,11,11.6,25.9,26.7
Tim Hill,SDP,RP,0,48,0.5,48,3.56,3.47,4.31,4.02,12.6,7,6.8,24,23.7
Tyler Rogers,SFG,RP,0,75.2,0.6,75.2,3.57,3.44,4.12,3.93,15.4,7.2,8.1,29,22
Freddy Peralta,MIL,SP,76.1,1.2,2,78,3.58,3.06,3.66,3.57,27.1,8.5,12.2,29.6,26.9
Braxton Garrett,MIA,SP,88,0,1.5,88,3.58,3.56,3.5,3.52,24.1,6.4,11.8,30.9,30.9
Jose Cuas,KCR,RP,0,37.2,-0.1,37.2,3.58,4.39,4.88,4.61,18.9,13.3,10.5,29,25.2
Nick Neidert,MIA,SP,5,0,0,5,3.6,4.51,3.69,4.07,15,0,7.3,25.6,29.4
Jhon Romero,MIN,RP,0,5,0.1,5,3.6,1.31,1.61,1.56,25,4.2,11.1,27.8,41.2
Simeon Woods Richardson,MIN,SP,5,0,0,5,3.6,5.71,4.89,5.49,15,10,9.9,19.8,46.7
Seth Lugo,NYM,RP,0,65,0.2,65,3.6,3.76,3.51,3.14,25.4,6.6,9.1,29.4,28
Domingo German,NYY,SP,70.2,1.2,0.7,72.1,3.61,4.44,4.33,4.22,19.5,6.4,11.3,28.5,28.6
Ryan Tepera,LAA,RP,0,57.1,0.1,57.1,3.61,4.21,4.25,4,20.3,8.6,13,26.2,23.9
Sammy Long,SFG,RP,12.1,30,-0.3,42.1,3.61,5.07,4.68,4.31,18.2,7.7,11.2,28.4,30.1
Beau Sulser,- - -,RP,0,21.4,0,22.1,3.63,4.5,4.35,4.08,19.2,9.1,8.9,22.5,31.4
Taylor Widener,ARI,RP,0,17.1,0,17.1,3.63,4.38,5.36,4.33,17.1,6.1,9.7,24.6,30
Diego Castillo,SEA,RP,0,54.1,0.3,54.1,3.64,3.68,3.85,3.67,23.9,9.9,12.1,27.8,20.7
Brandon Bielak,HOU,RP,0,12.1,-0.1,12.1,3.65,4.98,4.67,3.57,22.2,7.4,7.5,26.5,31.4
Ranger Suarez,PHI,SP,155.1,0,2.3,155.1,3.65,3.87,3.82,4.11,19.5,8.8,8.8,25.5,25.2
Nick Lodolo,CIN,SP,103.1,0,1.8,103.1,3.66,3.9,3.49,3.29,29.7,8.8,12.3,29.8,29.8
Zack Greinke,KCR,SP,137,0,1.9,137,3.68,4.03,4.54,4.84,12.5,4.6,7.3,25,30.3
Michael Plassmeyer,PHI,RP,0,7.1,0.1,7.1,3.68,3.39,2.62,2.78,24.1,3.4,15.2,33.3,28.6
Parker Mushinski,HOU,RP,0,7.1,0.1,7.1,3.68,2.57,3.58,3.29,26.7,10,18.9,32.4,16.7
Eric Lauer,MIL,SP,158.2,0,1.1,158.2,3.69,4.5,4.08,4.07,23.8,8.9,9.8,27.4,34.9
Jackson Stephens,ATL,RP,3,50.2,0.4,53.2,3.69,3.54,4.06,4.03,20,9.8,9.4,25.7,21.6
Oliver Ortega,LAA,RP,0,34,-0.2,34,3.71,4.76,3.94,4.03,22.3,12.2,11.1,24.2,33.3
Adam Wainwright,STL,SP,191.2,0,2.8,191.2,3.71,3.66,4.1,4.34,17.8,6.7,6.7,27.9,31.1
Devin Smeltzer,MIN,SP,62.2,7.2,-0.1,70.1,3.71,5.23,4.97,4.99,13.9,6.6,7.4,25.2,33.5
Robbie Ray,SEA,SP,189,0,1.8,189,3.71,4.17,3.58,3.5,27.4,8,13.5,26.5,33.2
Luis Garcia,HOU,SP,157.1,0,2.1,157.1,3.72,3.93,3.82,3.77,24.4,7.3,13,28.7,32
Hector Neris,HOU,RP,0,65.1,1.6,65.1,3.72,2.35,3.29,2.7,30,6.5,14.2,31.1,34.2
Chris Flexen,SEA,SP,121,16.2,0.7,137.2,3.73,4.49,5.04,4.99,16.1,8.6,9.6,22.5,30.8
Alex Cobb,SFG,SP,149.2,0,3.7,149.2,3.73,2.8,2.89,3.15,23.9,6.8,10.4,29.4,28.4
Hirokazu Sawamura,BOS,RP,0,50.2,0,50.2,3.73,4.16,4.51,4.56,18.1,12.2,11.1,25.4,37.7
Jarlin Garcia,SFG,RP,0,65,-0.1,65,3.74,4.27,4.25,3.78,20.7,6.7,11.1,27.9,30.3
Pablo Lopez,MIA,SP,180,0,2.8,180,3.75,3.71,3.56,3.71,23.6,7.2,12.7,28.1,27.5
Craig Kimbrel,LAD,RP,0,60,0.9,60,3.75,3.23,4.04,3.44,27.7,10.8,12.2,29.4,33.5
Keegan Thompson,CHC,SP,78.1,36.2,0.8,115,3.76,4.4,4.26,4.05,22.3,8.9,10,26.8,33.8
Hoby Milner,MIL,RP,0,64.2,0.7,64.2,3.76,3.16,3.37,3.08,23.5,5.5,9.5,30.8,25.8
Jesse Chavez,- - -,RP,1,67.4,0.7,69.1,3.76,3.39,3.32,3.19,25.3,6.8,9.8,30.6,31.5
Reid Detmers,LAA,SP,129,0,2.3,129,3.77,3.79,4.2,4.12,22.6,8.5,11.1,27,31.4
Brent Suter,MIL,RP,0,66.2,-0.2,66.2,3.78,4.4,4.18,3.96,19.5,8.1,11.9,27.7,26.8
Roansy Contreras,PIT,SP,87.1,7.2,0.9,95,3.79,4.38,4.48,4.41,21.1,9.6,12.7,29.8,34.9
Ryan Thompson,TBR,RP,0,42.2,0.4,42.2,3.8,3.42,3.55,3.33,21.5,6.1,10.2,30.3,27.1
Luis Perdomo,MIL,RP,0,23.2,-0.2,23.2,3.8,4.8,3.79,3.4,12.5,3.1,11.9,28.1,31.6
Justin Bruihl,LAD,RP,0,23.2,-0.3,23.2,3.8,5.35,5.16,4.69,13,6,10.9,23.2,20.5
Louie Varland,MIN,SP,26,0,0.2,26,3.81,4.3,4.13,4.14,19.8,5.7,8.5,26.3,37.2
Colin Holderman,- - -,RP,0,27.4,0.3,28.1,3.81,3.32,4.79,4.37,20.3,11.9,9.5,24.3,27.6
Jeff Hoffman,CIN,RP,1.2,43,0.2,44.2,3.83,4.3,5.06,4.32,22.8,11.7,10.5,25.8,34.1
Matt Strahm,BOS,RP,0,44.2,0.3,44.2,3.83,3.72,4.02,3.3,26.9,8.8,9.9,28.7,25.2
Buck Farmer,CIN,RP,0,47,1,47,3.83,3.03,3.86,3.71,27.1,12.6,12.7,28.5,26.9
David Peterson,NYM,SP,91,14.2,1.4,105.2,3.83,3.64,3.31,3.57,27.8,10.6,12.8,27.7,32.6
Aaron Loup,LAA,RP,0,58.2,0.4,58.2,3.84,3.76,4.11,3.79,20,8.5,11.3,27.4,33.1
Phil Maton,HOU,RP,0,65.2,-0.1,65.2,3.84,4.33,3.82,3.33,26,8.5,13.7,29.9,25
Kody Clemens,DET,RP,0,7,0,7,3.86,3.26,5.58,5.8,3,3,0,6.8,9.7
Joe Barlow,TEX,RP,0,35,-0.3,35,3.86,4.83,4.87,4.24,19.2,8.9,13,28.7,32.7
JP Sears,- - -,SP,52.2,17.1,0.5,70,3.86,4.21,4.57,4.53,17.7,8,8,27.2,34.9
Bailey Falter,PHI,SP,76.2,7.1,0.6,84,3.86,4.65,4.13,3.94,21.2,4.9,11,30.3,28.2
Justus Sheffield,SEA,RP,5,6.2,-0.1,11.2,3.86,4.83,4.85,4.9,13.7,11.8,6.1,22.3,32.4
Cody Poteet,MIA,RP,7.2,20.1,-0.1,28,3.86,4.65,4.11,4.22,18.4,9.6,14.1,27.5,31.7
Jandel Gustave,MIL,RP,0,28,0,28,3.86,4.43,4.06,3.69,22.5,9.2,6.9,26.2,36.3
Brennan Bernardino,SEA,RP,0,2.1,0,2.1,3.86,5.68,8.22,7.69,0,15.4,0,9.8,27.3
Cody Stashak,MIN,RP,0,16.1,0.4,16.1,3.86,2.07,3.63,3.24,23.1,0,14.1,30,30
Spencer Patton,TEX,RP,0,7,-0.1,7,3.86,5.68,5.31,4.46,17.2,10.3,9,25.2,31.6
Nathan Eovaldi,BOS,SP,109.1,0,1,109.1,3.87,4.3,3.46,3.55,22.4,4.3,12.4,28.4,38.4
Jason Foley,DET,RP,0,60.1,0.8,60.1,3.88,2.76,3.56,3.36,16.8,4.3,8.1,24.8,26.5
Konnor Pilkington,CLE,SP,51,7,0.3,58,3.88,4.49,4.86,4.93,19.4,12.4,11.3,23.8,31.6
Joey Krehbiel,BAL,RP,0,57.2,-0.3,57.2,3.9,4.67,4.34,4.04,18.4,7.4,9.5,25.8,27
Mitch Keller,PIT,SP,153,6,2.1,159,3.91,3.88,3.99,4.18,20.1,8.7,8.7,25.8,27.9
Jameson Taillon,NYY,SP,177.1,0,2.3,177.1,3.91,3.94,3.79,3.84,20.7,4.4,9.9,26.3,31.7
Garrett Cleavinger,- - -,RP,0,22.3,0.4,23,3.91,2.5,2.72,2.33,34.8,7.6,13,35.4,36.5
Blake Taylor,HOU,RP,0,16,-0.1,16,3.94,4.86,5.53,5.52,12,13.3,8.5,21,25.5
Noah Syndergaard,- - -,SP,132.2,2,2.2,134.2,3.94,3.83,4.28,4.39,16.8,5.5,9.1,26.3,28.5
Jose Urquidy,HOU,SP,162.1,2,1.1,164.1,3.94,4.6,4.32,4.18,19.7,5.6,10,25.8,30.7
Zack Kelly,BOS,RP,0,13.2,0,13.2,3.95,4.28,4.33,3.95,18.6,6.8,7.7,26.6,25
Michael Rucker,CHC,RP,0,54.2,0,54.2,3.95,4.28,4.09,3.81,21.8,8.7,11.1,25.6,32.1
Reiss Knehr,SDP,RP,3.2,10,0,13.2,3.95,4.36,5.35,4.46,16.9,6.8,5.8,21.5,41.5
Jon Gray,TEX,SP,127.1,0,1.8,127.1,3.96,3.8,3.46,3.56,25.7,7.5,11.6,29.3,31.3
Jose Suarez,LAA,SP,102.1,6.2,1.6,109,3.96,3.91,3.86,3.91,22.3,7.1,11.7,27,29.5
Will Smith,- - -,RP,0,59,-0.1,59,3.97,4.26,4.14,3.64,24.9,9.6,14.9,30.7,34.3
Carlos Carrasco,NYM,SP,152,0,2.4,152,3.97,3.53,3.45,3.6,23.6,6.4,13,27.1,31.8
Cole Irvin,OAK,SP,181,0,1.4,181,3.98,4.21,4.35,4.37,17.3,4.9,9.6,25.7,32.1
Jose Quijada,LAA,RP,0,40.2,0.5,40.2,3.98,3.85,4.14,3.41,30.8,12.4,14.9,28.2,24.5
Colin Poche,TBR,RP,0,58.2,-0.2,58.2,3.99,4.54,4.05,3.49,26.1,9,12.7,26.6,25.9
Mark Leiter Jr.,CHC,RP,14.1,53.1,0.3,67.2,3.99,4.29,3.62,3.36,25.9,8.9,11.9,30.1,29.9
Lance Lynn,CHW,SP,121.2,0,1.9,121.2,3.99,3.82,3.44,3.35,24.2,3.7,13.3,26.7,32.6
Will Vest,DET,RP,1.2,61.1,0.4,63,4,3.54,3.48,3.39,23.2,8.1,10.5,26.5,31.7
Dominic Leone,SFG,RP,0,49.1,0,49.1,4.01,4.04,4.11,3.91,23.4,10.8,18.5,28.6,34.2
Walker Buehler,LAD,SP,65,0,1,65,4.02,3.8,3.64,3.82,21.2,6.2,11.7,26.2,31
Kyle Crick,CHW,RP,0,15.2,0.1,15.2,4.02,3.18,4.12,4.16,28.8,16.7,10.4,31.5,29.4
Garrett Hill,DET,SP,42.2,17.2,-0.2,60.1,4.03,5.15,5.56,5.31,15.2,11,8,24.4,27.4
Chris Paddack,MIN,SP,22.1,0,0.9,22.1,4.03,1.72,3.18,3.41,21.5,2.2,10.4,27.2,24.3
John King,TEX,RP,0,51.1,0,51.1,4.03,4.09,3.66,3.4,13.5,6.3,8.8,25,31.1
Miguel Castro,NYY,RP,0,29,0.1,29,4.03,3.84,4.22,3.87,23.7,11.5,13,32.6,30
Daniel Castano,MIA,SP,31.2,4,0.1,35.2,4.04,4.74,4.37,4.68,12.8,5.8,7.1,23.1,21.6
Taylor Clarke,KCR,RP,0,49,0.7,49,4.04,3.3,3.64,3.16,23.6,3.9,12.2,23.1,30.1
Zach Eflin,PHI,SP,68,7.2,1.4,75.2,4.04,3.56,3.81,3.78,20.8,4.8,9.9,27.6,21.5
Austin Brice,PIT,RP,0,6.2,0.1,6.2,4.05,2.96,4.29,4.31,18.5,11.1,7.5,30.2,31.6
Miguel Sanchez,MIL,RP,0,13.1,-0.3,13.1,4.05,6.49,4.78,4.87,15.5,13.8,10.9,28,24.4
Frankie Montas,- - -,SP,143.4,0,2,144.1,4.05,3.78,3.61,3.74,23.4,7.1,12.6,25.6,28
Eduardo Rodriguez,DET,SP,91,0,0.6,91,4.05,4.43,4.41,4.56,18.4,8.7,7.5,23.8,29
Zach Davies,ARI,SP,134.1,0,0.5,134.1,4.09,4.83,4.57,4.71,17.9,9.1,8.5,26.7,30.2
Hanser Alberto,LAD,RP,0,11,-0.1,11,4.09,6.39,7.66,7.81,2.1,6.4,1.3,12.5,38.1
Jake Fishman,MIA,RP,0,11,0.1,11,4.09,2.84,4.19,3.71,12.5,0,6.4,25.1,23.1
Nick Vespi,BAL,RP,0,26.1,-0.1,26.1,4.1,4.48,3.3,3.2,25,7.1,15,31.6,33.3
Trent Thornton,TOR,RP,0,46,-0.1,46,4.11,4.66,4.48,4.2,19.6,9,8.6,28.6,39.6
Justin Grimm,OAK,RP,0,15.1,0,15.1,4.11,4.29,5.27,4.74,15.5,9.9,11.2,25.6,31.4
Caleb Smith,ARI,RP,1,69,-0.8,70,4.11,5.57,5.15,4.62,21.5,12.9,12.9,26.9,30.5
Derek Law,- - -,RP,0,19.2,-0.1,19.2,4.12,4.89,4.34,4.06,18.5,8.7,9.7,27.8,16.9
Jonathan Loaisiga,NYY,RP,0,48,0.4,48,4.13,3.57,3.78,3.76,18.2,9.4,11.8,26.8,23.1
Marco Gonzales,SEA,SP,183,0,0.1,183,4.13,5.05,4.9,4.99,13.2,6.4,8.4,23.5,26.5
Trevor Gott,MIL,RP,0,45.2,-0.1,45.2,4.14,4.45,3.82,3.34,23.7,6.5,10.5,28.3,25.2
Brett Martin,TEX,RP,1,49,0.3,50,4.14,3.63,3.81,3.87,18.9,8.5,11.5,27.2,35.1
Cristofer Ogando,TBR,RP,0,4.1,0,4.1,4.15,3.57,4.94,4.79,11.8,5.9,6.8,27,38.5
Evan Lee,WSN,RP,3.2,5,0,8.2,4.15,5.77,6.32,5.76,16.3,16.3,5.5,21.2,32.1
"Darren O'Day",ATL,RP,0,21.2,0,21.2,4.15,4.04,4.15,3.46,27.7,10.6,12.2,26,26.3
Matthew Festa,SEA,RP,0,54,-0.1,54,4.17,4.26,3.47,2.97,29.2,8.2,14,31,27.4
Lucas Gilbreath,COL,RP,0,43,0.6,43,4.19,3.53,4.06,3.95,26.2,13.9,11.7,28.1,32.4
Beau Brieske,DET,SP,81.2,0,0.1,81.2,4.19,4.97,4.78,4.83,15.9,7.4,8.2,22.1,34.4
Steve Cishek,WSN,RP,0,66.1,-0.3,66.1,4.21,4.85,4.16,3.45,25.8,9.4,10.2,29.6,29.5
Kenny Rosenberg,LAA,RP,4.2,6,0,10.2,4.22,4.52,5.52,5.4,17,12.8,9.3,23.8,15.2
Rowan Wick,CHC,RP,0,64,0,64,4.22,4.19,3.7,3.68,23.5,9.9,10.1,27.6,29.2
Austin Pruitt,OAK,RP,5,50.1,-0.3,55.1,4.23,4.87,4.18,3.88,17,4,11.5,27.2,25.6
James Kaprielian,OAK,SP,134,0,0.3,134,4.23,4.63,5.06,5.04,17,10.2,9.5,24.9,31.6
Adrian Morejon,SDP,RP,0,34,0.2,34,4.24,3.88,4.57,4.01,19.9,6.4,11.7,23.9,31.1
Michael Lorenzen,LAA,SP,97.2,0,1,97.2,4.24,4.31,4.2,4.43,20.7,10.7,11.2,25.5,27
Jack Flaherty,STL,SP,35,1,0,36,4.25,4.97,4.93,4.99,19.8,13.2,10.4,25.5,28
Tyler Wells,BAL,SP,103.2,0,0.9,103.2,4.25,4.52,4.6,4.53,18,6.6,11.3,26.5,27.8
Danny Young,- - -,RP,0,5.4,0,6.1,4.26,4.22,4.04,3.71,18.8,6.3,10.3,38.9,29.2
Chris Stratton,- - -,RP,2.1,60.3,0.7,63.1,4.26,3.32,4.04,3.84,21.5,9,11.5,27.5,31.3
Rich Hill,BOS,SP,124.1,0,1.8,124.1,4.27,3.92,4.12,4.13,20.7,7,9.2,29.4,26.9
Anibal Sanchez,WSN,SP,69.1,0,-0.2,69.1,4.28,5.77,5.27,5.26,16.4,11.3,7.9,22.6,34.8
Paul Blackburn,OAK,SP,111.1,0,0.8,111.1,4.28,4.21,3.89,4.09,19.1,6.4,9.6,27.4,30.6
Reyes Moronta,- - -,RP,0,37.2,0.1,37.2,4.3,4.41,4.81,4.11,23.6,11.2,11.5,28.5,28.2
Zach Plesac,CLE,SP,130.2,1,0.9,131.2,4.31,4.45,4.39,4.46,17.6,6.7,10.2,24.2,30.6
Tanner Scott,MIA,RP,0,62.2,0.4,62.2,4.31,3.67,3.53,3.74,31.1,15.9,15.5,31.3,28.2
Matt Barnes,BOS,RP,0,39.2,0.1,39.2,4.31,3.87,4.97,4.53,19.3,11.9,11.3,28.7,33.1
Tommy Nance,MIA,RP,5,38.2,0.2,43.2,4.33,3.71,3.37,3.24,29.1,10.7,12.3,30.4,27.2
Mike Clevinger,SDP,SP,112.1,2,0.4,114.1,4.33,4.98,4.76,4.49,18.8,7.2,10.6,26.3,29.2
Corey Kluber,TBR,SP,164,0,3,164,4.34,3.57,3.92,3.85,20.2,3,11.4,29.7,26.6
Austin Voth,- - -,SP,76.1,24.4,1,101.2,4.34,4.14,4.33,4.16,20.4,7,10.9,26.4,28.4
Charlie Morton,ATL,SP,172,0,1.5,172,4.34,4.26,3.6,3.48,28.2,8.7,12.2,30.6,30.3
Anthony Misiewicz,- - -,RP,0,28.3,0,29,4.34,4.08,4.22,3.78,22.3,8.3,10.5,26.9,34.5
Shawn Armstrong,- - -,RP,7.2,53.3,0.5,61.2,4.38,3.47,3.46,3.18,24.5,6.3,12.5,28.2,24.7
Wil Crowe,PIT,RP,2,74,-0.1,76,4.38,4.31,4.29,4.19,20.5,11.4,12,27.1,23.8
Manny Banuelos,- - -,RP,0,40.3,0.3,41,4.39,3.45,3.98,3.82,24,12,11.6,26.6,30.3
Duane Underwood Jr.,PIT,RP,1,56.1,0.9,57.1,4.4,2.92,3.91,3.74,22,9.7,12.6,26.7,25.6
Sean Poppen,ARI,RP,0,28.2,-0.4,28.2,4.4,5.21,4.9,4.52,18.3,10,6.4,27.3,32.9
Matt Foster,CHW,RP,0,45,0.2,45,4.4,4.11,4.39,3.99,21.8,8.8,9.6,23.4,26.1
Tyler Mahle,- - -,SP,120.2,0,2.1,120.2,4.4,3.87,4.03,3.88,25,8.5,11,28.4,29.2
Jake Odorizzi,- - -,SP,106.1,0,1.3,106.1,4.4,4.28,4.7,4.59,19,7.7,10.2,23.6,24.3
Phillips Valdez,BOS,RP,0,16.1,0,16.1,4.41,3.91,5.09,4.06,18.1,9.7,7.7,28.6,21.7
Mauricio Llovera,SFG,RP,1,15.1,0.1,16.1,4.41,3.72,3.58,3.45,27.8,11.1,13.1,29.7,22.7
Rony Garcia,DET,SP,37,14,0.2,51,4.41,4.52,4.15,3.79,23.3,6.3,8.2,23.3,34.8
Ronald Bolanos,KCR,RP,0,18.1,-0.2,18.1,4.42,5.68,5.71,5.29,13.8,13.8,9.3,24.7,31.7
Jakob Junis,SFG,SP,84,28,1.3,112,4.42,3.65,3.67,3.78,20.5,5.2,9.4,29.7,27.1
Jordan Lyles,BAL,SP,179,0,1.4,179,4.42,4.4,4.39,4.36,18.6,6.7,9.3,26.4,30.4
Craig Stammen,SDP,RP,3,37.2,-0.4,40.2,4.43,5.15,3.7,3.5,19.8,5.6,10.8,28.2,30.2
Emilio Pagan,MIN,RP,0,63,-0.1,63,4.43,4.21,3.26,2.95,30.7,9.5,14,28.2,28.8
Hunter Greene,CIN,SP,125.2,0,1.6,125.2,4.44,4.37,3.64,3.33,30.9,9,14.5,29.2,32.4
Matt Brash,SEA,RP,20,30.2,0.6,50.2,4.44,3.51,3.7,4,27.9,14.9,12.6,32.3,27.2
Ross Detwiler,CIN,RP,0,26.1,-0.1,26.1,4.44,4.94,3.93,3.6,23,8.2,8.9,26.8,32.1
Aaron Ashby,MIL,SP,88,19.1,0.9,107.1,4.44,4.06,3.29,3.48,26.5,9.9,12.4,32.5,27.4
Dakota Hudson,STL,SP,136.2,3,1,139.2,4.45,4.34,4.82,5.11,13.1,10.2,7.2,23,29.5
Aroldis Chapman,NYY,RP,0,36.1,-0.2,36.1,4.46,4.57,4.77,4.53,26.9,17.5,12.7,30.9,26.4
Dane Dunning,TEX,SP,153.1,0,0.9,153.1,4.46,4.45,4.03,4.17,20.4,9.2,10,27.8,33.3
Joely Rodriguez,NYM,RP,0,50.1,0.4,50.1,4.47,3.23,3.46,3.54,26.4,12,11.3,31.8,19.7
Harold Castro,DET,RP,0,4,0,4,4.5,4.11,6.7,6.06,5.6,5.6,2,20,46.7
