name,Team,player_id,year,b_total_pa,b_game,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,avg_best_speed,launch_angle_avg,barrel_batted_rate,pull_percent,linedrives_percent
Will Brennan,CLE,686823,2022,45,11,0.282,0.415,0.32,0.331,0.133,89.8,98.40309,5.4,5.3,42.1,26.3
Andrew Knapp,SFG,595284,2022,46,16,0.185,0.247,0.254,0.293,0.062,86.3,95.52700214,17.2,0,42.9,14.3
Tim Locastro,NYY,641796,2022,46,38,0.253,0.416,0.316,0.303,0.163,86.5,96.33429056,11.8,5.6,47.2,27.8
Cam Gallagher,KCR,595956,2022,47,18,0.187,0.242,0.22,0.241,0.055,85.8,96.08426429,16.3,0,48.4,19.4
Esteban Quiroz,CHC,606019,2022,47,14,0.226,0.297,0.29,0.327,0.071,81.6,94.72879933,11.3,3.1,34.4,25
Matt Beaty,SDP,607461,2022,47,20,0.199,0.257,0.243,0.267,0.059,83.6,96.81082667,10.5,0,40,20
Josh Palacios,WSN,641943,2022,49,29,0.213,0.252,0.225,0.245,0.039,81.3,93.297935,4.9,0,31.3,25
Luis Campusano,SDP,669134,2022,50,16,0.23,0.355,0.258,0.241,0.125,87.7,99.76127684,16.4,5.3,26.3,15.8
Miguel Vargas,LAD,678246,2022,50,18,0.205,0.338,0.257,0.241,0.133,89.7,98.53849944,25.9,8.6,37.1,11.4
Jordan Diaz,OAK,672478,2022,51,15,0.208,0.273,0.229,0.239,0.064,86.9,96.12983762,-4.8,0,38.1,23.8
Alec Burleson,STL,676475,2022,53,16,0.248,0.415,0.322,0.319,0.167,91.7,100.5183932,4,10.3,41,25.6
Tres Barrera,WSN,668663,2022,53,19,0.167,0.214,0.187,0.199,0.047,81.8,91.98582294,21.4,0,34.3,20
Adalberto Mondesi,KCR,609275,2022,54,15,0.166,0.231,0.211,0.228,0.066,88,97.56029692,7.8,3.3,40,10
Nick Ahmed,ARI,605113,2022,54,17,0.191,0.292,0.227,0.221,0.101,86.9,96.86520278,4.4,5.4,45.9,13.5
Willians Astudillo,MIA,553902,2022,55,21,0.265,0.315,0.265,0.279,0.05,83,95.27252077,15.5,0,37.3,19.6
Connor Wong,BOS,657136,2022,56,27,0.185,0.367,0.281,0.27,0.183,89.8,99.75880471,5.1,11.8,35.3,11.8
Billy McKinney,OAK,641856,2022,57,23,0.158,0.249,0.203,0.216,0.091,83.8,94.80122611,17.4,5.4,32.4,18.9
David MacKinnon,OAK,676950,2022,57,22,0.208,0.28,0.259,0.289,0.072,85,95.33778941,8.2,2.9,38.2,20.6
Gabriel Arias,CLE,672356,2022,57,16,0.197,0.296,0.29,0.326,0.099,88.8,100.5168433,-0.6,6.3,37.5,18.8
Jose Rojas,LAA,670351,2022,57,22,0.167,0.231,0.182,0.182,0.064,84.8,96.31704167,27.9,2.7,40.5,18.9
Justin Upton,SEA,457708,2022,57,17,0.157,0.218,0.249,0.293,0.061,88.5,99.12887833,26.5,4,48,20
Oswald Peraza,NYY,672724,2022,57,18,0.276,0.374,0.343,0.378,0.097,81.6,95.3083725,5.4,5,35,17.5
Anthony Bemboom,BAL,621532,2022,59,22,0.182,0.266,0.246,0.269,0.084,90.1,99.02926882,7,5.6,38.9,13.9
Conner Capel,OAK,668843,2022,59,22,0.286,0.438,0.339,0.338,0.152,87.6,97.99066546,7.9,6.8,31.8,29.5
Dee Strange-Gordon,WSN,543829,2022,59,22,0.22,0.268,0.213,0.22,0.047,84.4,92.76007,1.3,0,45.1,21.6
Jake Hager,ARI,606993,2022,59,28,0.165,0.24,0.247,0.28,0.075,80.8,94.03665933,13.9,5.9,35.3,11.8
Livan Soto,LAA,670869,2022,59,18,0.281,0.334,0.283,0.303,0.053,83.8,92.85119429,19.8,0,52.3,29.5
Chuckie Robinson,CIN,642020,2022,60,25,0.227,0.375,0.26,0.227,0.148,86.2,97.52340381,0.5,9.3,27.9,14
Hoy Park,PIT,660829,2022,60,23,0.208,0.344,0.269,0.27,0.136,85.1,96.31155211,10.3,10,35,10
Yairo Munoz,PHI,622168,2022,60,29,0.226,0.328,0.263,0.265,0.102,85,97.97592167,1.3,4.3,46.8,12.8
Mark Contreras,MIN,676628,2022,61,28,0.204,0.424,0.304,0.24,0.22,94.9,104.2844963,13.9,31.6,42.1,18.4
Will Benson,CLE,666181,2022,61,28,0.181,0.228,0.224,0.249,0.048,84.2,96.20622167,10.4,0,40.5,18.9
Juan Lagares,LAA,501571,2022,62,20,0.216,0.305,0.242,0.241,0.089,88.4,98.69337957,14.4,2.2,40,33.3
Kyle Lewis,SEA,641786,2022,62,18,0.206,0.4,0.3,0.284,0.195,89.9,99.82020889,16.9,10.8,40.5,18.9
Willie Calhoun,SFG,641432,2022,62,22,0.215,0.327,0.309,0.343,0.112,89.4,99.75700136,14.2,2.3,43.2,20.5
Cole Tucker,PIT,657061,2022,63,18,0.183,0.275,0.198,0.183,0.092,82.4,94.31418737,4.8,7.9,36.8,23.7
Travis Jankowski,SEA,608671,2022,64,44,0.198,0.23,0.259,0.31,0.032,80.5,92.70233095,-3.2,0,33.3,11.1
Jordan Groshans,MIA,677954,2022,65,17,0.234,0.305,0.263,0.281,0.071,87.1,98.61393375,5,2.1,27.1,25
Matt Wallner,MIN,670242,2022,65,18,0.175,0.265,0.245,0.277,0.09,87.5,102.52181,12.9,9.4,46.9,18.8
Chris Owings,BAL,572008,2022,68,26,0.145,0.199,0.238,0.286,0.054,80.4,93.84747938,10.8,3,33.3,15.2
Garrett Mitchell,MIL,669003,2022,68,28,0.187,0.339,0.266,0.26,0.152,92.9,100.8287259,9.5,11.8,17.6,29.4
Michael Stefanic,LAA,683021,2022,69,25,0.217,0.279,0.266,0.297,0.062,84.8,93.49606,5,2,22,20
Roberto Perez,PIT,547379,2022,69,21,0.212,0.376,0.308,0.314,0.165,89.3,101.7896156,5.4,11.4,45.7,22.9
Daz Cameron,DET,663662,2022,70,21,0.223,0.401,0.303,0.289,0.178,90.4,100.3198882,17.1,9.1,36.4,22.7
Cal Stevenson,OAK,670276,2022,71,23,0.208,0.309,0.277,0.298,0.102,87.6,97.16470684,10.6,5,35,27.5
J.J. Matijevic,HOU,656695,2022,71,32,0.213,0.325,0.259,0.257,0.112,88.8,99.86597714,8.9,2.4,33.3,21.4
Miguel Sano,MIN,593934,2022,71,20,0.167,0.336,0.302,0.293,0.169,93.9,102.6933806,30,13.9,50,27.8
Luke Raley,TBR,670042,2022,72,22,0.177,0.296,0.286,0.298,0.119,90.1,100.6282047,16.9,13.2,28.9,15.8
Patrick Mazeika,NYM,664850,2022,72,24,0.188,0.284,0.218,0.211,0.097,84.5,93.46746828,15.4,3.3,55.7,19.7
Gabriel Moreno,TOR,672515,2022,73,25,0.274,0.362,0.299,0.314,0.088,89.2,97.74877613,5.9,3.3,14.8,24.6
Michael Hermosillo,CHC,641684,2022,73,31,0.169,0.247,0.259,0.296,0.078,86.6,97.96185412,17.4,8.6,37.1,28.6
Jack Mayfield,LAA,608686,2022,74,23,0.187,0.257,0.221,0.231,0.07,84.5,93.70729852,13.5,1.9,47.2,17
Meibrys Viloria,TEX,650619,2022,75,26,0.142,0.247,0.243,0.268,0.106,88.4,97.59757722,5.6,8.6,28.6,20
Jermaine Palacios,MIN,650339,2022,77,30,0.191,0.313,0.237,0.23,0.122,87.5,98.38676913,4.5,6.5,39.1,23.9
Phil Gosselin,LAA,594838,2022,77,34,0.177,0.254,0.207,0.209,0.077,86.4,96.7428284,15,2,28,20
Donovan Walton,SFG,622268,2022,78,25,0.191,0.31,0.228,0.212,0.119,86.1,96.60934867,7.7,5,36.7,20
Steven Duggar,LAA,621453,2022,80,29,0.146,0.24,0.215,0.224,0.094,92.9,101.7239994,16.9,6.3,28.1,21.9
Jerar Encarnacion,MIA,666464,2022,81,23,0.184,0.296,0.231,0.22,0.112,90.5,100.0494504,8,6.5,37,21.7
Matt Thaiss,LAA,642136,2022,81,29,0.212,0.325,0.289,0.317,0.113,88.5,98.4696987,7.5,6.5,41.3,13
Guillermo Heredia,ATL,628338,2022,82,74,0.16,0.289,0.228,0.222,0.129,86,97.68347864,14.6,11.4,47.7,20.5
Jake Marisnick,PIT,545350,2022,82,31,0.226,0.361,0.27,0.265,0.135,88.4,101.0382346,19.9,7.4,35.2,22.2
Rene Pinto,TBR,650907,2022,83,25,0.187,0.278,0.219,0.216,0.091,89.1,100.2101004,12.6,4.4,17.8,17.8
Yermin Mercedes,SFG,606213,2022,83,31,0.253,0.392,0.329,0.343,0.139,87.5,97.54091786,25.3,7.1,32.1,25
Ryan Kreidler,DET,668952,2022,84,26,0.211,0.34,0.273,0.276,0.13,88.2,96.20178111,14.8,7.3,40,16.4
Stone Garrett,ARI,656448,2022,84,27,0.198,0.369,0.268,0.24,0.171,92.9,101.2777156,22.8,10,30,22
Andrelton Simmons,CHC,592743,2022,85,34,0.158,0.189,0.199,0.232,0.032,81.4,90.98037133,1.1,0,38.5,12.3
Luis Barrera,OAK,642456,2022,85,32,0.213,0.31,0.261,0.276,0.096,87.1,96.470882,5.1,3.3,41,21.3
Nick Maton,PHI,665155,2022,85,34,0.217,0.357,0.306,0.318,0.14,86.6,96.70372136,18.6,6.7,46.7,24.4
Sandy Leon,MIN,506702,2022,86,33,0.187,0.238,0.263,0.312,0.051,84.3,94.15267955,21.4,0,54.3,37
Tyler Freeman,CLE,671289,2022,86,24,0.229,0.286,0.27,0.302,0.057,85.9,96.96010182,10.3,1.5,20.9,19.4
Jonathan Aranda,TBR,666018,2022,87,32,0.205,0.348,0.279,0.289,0.143,91.1,100.6311552,5.9,7.3,45.5,18.2
Roman Quinn,TBR,596451,2022,87,44,0.188,0.268,0.244,0.263,0.079,91.3,101.8435568,23.3,4.7,53.5,25.6
Jason Castro,HOU,488771,2022,88,34,0.161,0.28,0.239,0.245,0.119,88.6,98.6215215,10,5.1,41,17.9
Jonathan Davis,MIL,641505,2022,91,37,0.218,0.262,0.284,0.34,0.044,84.6,95.4263956,2.8,0,41.2,27.5
Mark Mathias,TEX,664029,2022,91,30,0.214,0.384,0.298,0.29,0.17,90.2,99.59246269,11.8,11.5,36.5,25
Derek Hill,DET,656537,2022,92,31,0.193,0.242,0.23,0.243,0.049,85.2,97.50347577,6.6,3.4,28.8,23.7
Edwin Rios,LAD,621458,2022,92,27,0.225,0.457,0.312,0.276,0.231,88.5,99.4546952,10.9,14,42,28
